SESSION NO,STUDENT ID,TC1,ANS1,TC2,ANS2,TC3,ANS3
1,s20215047,X,hello world2,X,hello world2,X,hello world2
1,s20215048,X,hello world2,X,hello world2,X,hello world2
1,s20215049,X,hello world2,X,hello world2,X,hello world2
2,s20215047,X,hello world2,X,hello world2,X,hello world2
2,s20215048,X,hello world2,X,hello world2,X,hello world2
2,s20215049,X,hello world2,X,hello world2,X,hello world2
3,s20215047,X,hello world2,X,hello world2,X,hello world2
3,s20215048,X,hello world2,X,hello world2,X,hello world2
3,s20215049,X,hello world2,X,hello world2,X,hello world2
4,s20215047,X,hello world2,X,hello world2,X,hello world2
4,s20215048,X,hello world2,X,hello world2,X,hello world2
4,s20215049,X,hello world2,X,hello world2,X,hello world2
