Session #,Student ID,TC3_1,ANS3_1,TC3_2,ANS3_2,TC3_3,ANS3_3,TC3_4,ANS3_4,TC3_5,ANS3_5,TC3_6,ANS3_6,Points3
Lab1,s20215049,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab1,s20215047,O,"hello
world",O,"hello
world",O,"hello
world",O,"hello
world",O,"hello
world",O,"hello
world",10
Lab1,s20215048,X,"Hello, World",X,"Hello, World",X,"Hello, World",X,"Hello, World",X,"Hello, World",X,"Hello, World",0
Lab1,s20215050,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab2,s20215052,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab2,s20215054,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab2,s20215053,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab2,s20215051,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab3,s20215049,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab3,s20215047,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab3,s20215048,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab3,s20215050,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab4,s20215049,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab4,s20215047,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab4,s20215048,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
Lab4,s20215050,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,X,No Submission,0
