Session #,Student ID,TC6_1,ANS6_1,TC6_2,ANS6_2,TC6_3,ANS6_3,TC6_4,ANS6_4
Lab1,s20215049,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab1,s20215047,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab1,s20215048,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab2,s20215049,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab2,s20215047,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab2,s20215048,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab3,s20215049,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab3,s20215047,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab3,s20215048,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab4,s20215049,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab4,s20215047,X,No Submission,X,No Submission,X,No Submission,X,No Submission
Lab4,s20215048,X,No Submission,X,No Submission,X,No Submission,X,No Submission
